connections,concurrency,number of messages,size in bytes,Average Latency in us
32,2,16,524288,2655
32,2,16,1048576,12270
32,4,16,2,28
32,4,16,4,29
32,4,16,8,24
32,4,16,16,24
32,4,16,32,20
32,4,16,64,29
32,4,16,128,24
32,4,16,256,24
32,4,16,512,26
32,4,16,1024,26
32,4,16,2048,28
32,4,16,4096,36
32,4,16,8192,517
32,4,16,16384,952
32,4,16,32768,283
32,4,16,65536,500
32,4,16,131072,453
32,4,16,262144,977
32,4,16,524288,1672
32,4,16,1048576,4573
32,8,16,2,7
32,8,16,4,5
32,8,16,8,5
32,8,16,16,8
32,8,16,32,6
32,8,16,64,6
32,8,16,128,6
32,8,16,256,7
32,8,16,512,7
32,8,16,1024,8
32,8,16,2048,12
32,8,16,4096,78
32,8,16,8192,266
32,8,16,16384,142
32,8,16,32768,509
32,8,16,65536,420
32,8,16,131072,990
32,8,16,262144,1008
32,8,16,524288,2365
32,8,16,1048576,3486
32,16,16,2,17
32,16,16,4,19
32,16,16,8,18
32,16,16,16,17
32,16,16,32,16
32,16,16,64,19
32,16,16,128,15
32,16,16,256,17
32,16,16,512,18
32,16,16,1024,20
32,16,16,2048,14
32,16,16,4096,317
32,16,16,8192,147
32,16,16,16384,217
32,16,16,32768,305
32,16,16,65536,245
32,16,16,131072,567
32,16,16,262144,1013
32,16,16,524288,1959
32,16,16,1048576,4240
32,32,16,2,20
32,32,16,4,22
32,32,16,8,6
32,32,16,16,6
32,32,16,32,6
32,32,16,64,6
32,32,16,128,25
32,32,16,256,26
32,32,16,512,25
32,32,16,1024,25
32,32,16,2048,27
32,32,16,4096,247
32,32,16,8192,68
32,32,16,16384,111
32,32,16,32768,279
32,32,16,65536,382
32,32,16,131072,497
32,32,16,262144,968
32,32,16,524288,1968
32,32,16,1048576,3941
32,64,16,2,7
32,64,16,4,7
32,64,16,8,10
32,64,16,16,24
32,64,16,32,24
32,64,16,64,25
32,64,16,128,12
32,64,16,256,6
32,64,16,512,6
32,64,16,1024,164
32,64,16,2048,133
32,64,16,4096,80
32,64,16,8192,254
32,64,16,16384,126
32,64,16,32768,180
32,64,16,65536,227
32,64,16,131072,448
32,64,16,262144,947
32,64,16,524288,2311
32,64,16,1048576,3970
32,128,16,2,24
32,128,16,4,14
32,128,16,8,21
32,128,16,16,14
32,128,16,32,5
32,128,16,64,4
32,128,16,128,8
32,128,16,256,138
32,128,16,512,112
32,128,16,1024,162
32,128,16,2048,187
32,128,16,4096,225
32,128,16,8192,1021
32,128,16,16384,410
32,128,16,32768,1203
32,128,16,65536,334
32,128,16,131072,413
32,128,16,262144,2008
32,128,16,524288,1754
32,128,16,1048576,4535
32,256,16,2,7
32,256,16,4,21
32,256,16,8,194
32,256,16,16,10
32,256,16,32,22
32,256,16,64,342
32,256,16,128,20
32,256,16,256,94
32,256,16,512,84
32,256,16,1024,42
32,256,16,2048,71
32,256,16,4096,152
32,256,16,8192,133
32,256,16,16384,206
32,256,16,32768,123
32,256,16,65536,228
32,256,16,131072,535
32,256,16,262144,1223
32,256,16,524288,2390
32,256,16,1048576,5371
32,512,16,2,16
32,512,16,4,7
32,512,16,8,8
32,512,16,16,9
32,512,16,32,13
32,512,16,64,17
32,512,16,128,20
32,512,16,256,35
32,512,16,512,34
32,512,16,1024,78
32,512,16,2048,217
32,512,16,4096,818
32,512,16,8192,739
32,512,16,16384,1414
32,512,16,32768,1696
32,512,16,65536,2967
32,512,16,131072,6398
32,512,16,262144,10750
32,512,16,524288,2272
32,512,16,1048576,4398
32,1,32,2,3
32,1,32,4,3
32,1,32,8,3
32,1,32,16,3
32,1,32,32,3
32,1,32,64,3
32,1,32,128,3
32,1,32,256,3
32,1,32,512,5
32,1,32,1024,5
32,1,32,2048,7
32,1,32,4096,11
32,1,32,8192,92
32,1,32,16384,341
32,1,32,32768,359
32,1,32,65536,794
32,1,32,131072,1537
32,1,32,262144,3072
32,1,32,524288,4447
32,1,32,1048576,12378
32,2,32,2,23
32,2,32,4,19
32,2,32,8,24
32,2,32,16,23
32,2,32,32,31
32,2,32,64,22
32,2,32,128,19
32,2,32,256,16
32,2,32,512,23
32,2,32,1024,24
32,2,32,2048,26
32,2,32,4096,30
32,2,32,8192,291
32,2,32,16384,389
32,2,32,32768,433
32,2,32,65536,542
32,2,32,131072,878
32,2,32,262144,1929
32,2,32,524288,2776
32,2,32,1048576,7371
32,4,32,2,21
32,4,32,4,16
32,4,32,8,21
32,4,32,16,28
32,4,32,32,24
32,4,32,64,21
32,4,32,128,20
32,4,32,256,28
32,4,32,512,24
32,4,32,1024,15
32,4,32,2048,27
32,4,32,4096,58
32,4,32,8192,448
